#{"t_start": 1786597425.619332, "env_id": "None"}
r,l,t
133.75,200,40.060506
145.5,196,40.144506
165.25,200,40.235018
145.25,200,41.025019
172.25,200,41.12602
119.0,200,41.218021
184.0,200,41.305801
157.0,200,41.395801
147.25,200,41.483801
146.25,200,41.571802
139.25,200,41.659808
147.75,200,41.7468
147.75,200,41.8348
142.5,200,42.630821
153.25,200,42.731822
147.75,200,42.824823
149.5,200,42.914822
115.25,200,43.002823
180.75,200,43.088822
165.0,200,43.175822
177.75,200,43.264859
168.0,200,43.350861
173.25,200,43.438859
172.5,200,44.262884
174.0,200,44.354883
168.0,200,44.452884
182.25,200,44.537884
173.75,200,44.6269
179.25,200,44.713904
168.5,200,44.799903
173.25,200,44.887905
122.75,200,44.974416
174.5,200,45.063416
158.75,194,45.873925
138.5,200,45.973925
168.5,187,46.066925
117.25,159,46.137439
153.75,194,46.227442
190.5,200,46.31895
82.0,114,46.370951
208.75,200,46.460952
162.25,200,46.551951
152.0,200,46.644949
202.75,200,46.733949
102.25,141,46.794955
166.5,200,47.534963
190.0,200,47.641963
195.25,200,47.731963
160.75,200,47.815964
146.25,200,47.900966
177.5,200,47.985964
192.75,200,48.074965
173.75,200,48.165964
160.75,200,48.258475
115.0,173,48.332477
153.75,200,49.086984
175.5,200,49.186985
196.75,200,49.281501
164.5,200,49.366501
143.25,200,49.451501
185.75,200,49.537501
149.5,200,49.621501
180.25,200,49.703502
175.0,200,49.787008
164.5,200,49.87101
163.25,200,50.596061
161.75,200,50.69606
141.5,200,50.79506
170.5,200,50.87906
163.5,200,50.966063
171.75,200,51.053571
202.75,200,51.136571
187.5,200,51.222574
171.75,200,51.306082
195.75,200,51.390083
161.75,200,51.473085
209.0,200,52.270098
176.75,200,52.369099
180.5,200,52.456099
179.25,200,52.540098
186.25,200,52.624099
178.0,200,52.708098
180.0,200,52.7921
167.5,200,52.875099
212.0,200,52.958097
190.5,200,53.044098
214.5,200,53.837126
188.0,200,53.937124
161.0,200,54.032126
169.5,200,54.124126
180.25,200,54.208124
138.5,200,54.291637
182.75,200,54.374634
173.75,200,54.460635
173.0,200,54.553637
189.0,200,54.637653
186.5,200,55.432671
167.25,200,55.532671
173.0,200,55.624671
219.75,200,55.708671
176.25,200,55.792671
72.5,101,55.834674
186.75,200,55.923183
181.0,200,56.007184
199.25,200,56.092183
166.5,195,56.173183
158.5,200,56.256695
224.0,200,57.025694
176.5,200,57.130202
195.0,200,57.222205
164.5,200,57.306717
212.0,200,57.389715
190.0,200,57.474717
191.0,200,57.561716
183.25,200,57.644715
162.75,200,57.727717
189.0,200,57.811719
193.0,200,58.590736
186.0,200,58.688738
194.25,200,58.783736
187.75,200,58.867736
191.25,200,58.953737
178.5,200,59.037735
128.25,150,59.100736
188.0,200,59.183736
161.5,200,59.267244
200.25,200,59.351247
198.0,200,59.434244
187.25,200,60.17976
187.0,200,60.279275
202.25,200,60.363273
186.25,200,60.447275
186.5,200,60.539274
181.5,200,60.623273
194.25,200,60.706276
180.5,200,60.789781
210.25,200,60.872782
210.75,200,60.958781
162.25,200,61.748293
155.25,200,61.849292
175.5,200,61.938804
174.75,200,62.025802
177.5,200,62.108802
174.5,200,62.193802
192.5,200,62.276315
169.75,200,62.359315
184.25,200,62.443315
178.0,200,62.529316
185.0,200,63.291338
190.75,200,63.375338
185.5,200,63.473337
195.25,200,63.555337
199.25,200,63.639339
163.0,200,63.723337
199.5,200,63.80734
194.25,200,63.896338
194.25,200,63.985338
171.75,200,64.070337
168.5,200,64.855367
188.25,200,64.955369
180.25,200,65.052368
199.0,200,65.136369
184.0,200,65.218371
190.5,200,65.303882
199.5,200,65.38688
168.5,177,65.460879
185.25,200,65.54488
190.0,200,65.635392
157.0,200,65.718391
206.75,200,66.469898
185.25,200,66.557899
202.75,200,66.6479
207.5,200,66.731899
197.0,200,66.816409
193.75,200,66.899409
169.0,200,66.98441
200.25,200,67.06741
160.25,200,67.150409
182.75,200,67.233919
184.75,200,68.031432
200.25,200,68.133431
186.75,200,68.232439
194.75,200,68.319949
208.25,200,68.41995
162.75,200,68.50395
209.75,200,68.58795
176.25,200,68.67095
192.0,200,68.755949
183.25,200,68.84095
181.25,200,69.593965
190.25,200,69.688966
167.0,200,69.774966
160.25,200,69.863966
168.0,200,69.953966
182.5,200,70.043965
187.0,200,70.127964
167.5,200,70.212965
177.75,200,70.298476
191.0,200,70.386477
185.0,200,71.151998
216.0,200,71.244507
189.0,200,71.331507
188.5,200,71.410511
203.25,200,71.486511
185.0,200,71.56451
187.25,200,71.641511
204.75,200,71.718028
169.0,200,71.795028
218.25,200,71.872031
195.25,200,71.949031
185.0,200,72.632541
202.5,200,72.713542
187.5,200,72.792543
197.0,200,72.870543
179.5,200,72.948058
206.0,200,73.029058
204.25,200,73.106058
93.75,117,73.151058
193.0,200,73.229064
211.25,200,73.305572
220.5,200,73.96757
200.25,200,74.05057
195.25,200,74.134079
220.0,200,74.212081
182.0,200,74.288596
171.75,200,74.364596
200.25,200,74.442595
194.75,200,74.520596
197.0,200,74.5976
185.75,200,74.674619
186.5,200,74.75062
174.5,200,75.479635
202.5,200,75.580634
171.0,200,75.674637
223.25,200,75.772636
189.5,200,75.866636
205.25,200,75.957636
